company_id,metric_id,fiscal_year,value,unit,boundary,scope,method_note,quality_flag,source_id,extraction_note
amazon,offset_share_scope2,2024,100.0,pct,company,scope2,proxy: renewable energy matching (REC/PPA) reliance for Scope 2,self_reported,amazon_2024_sust_01,Proxy set to 100 based on statement that 100% of electricity consumed was matched with renewable energy sources in 2024.
amazon,pue,2024,,ratio,datacenters,scope2,power usage effectiveness (PUE) for data centers,self_reported,amazon_2024_sust_01,Numeric PUE appears in text (page 7) but extraction not implemented (v1 conservative).
amazon,renewable_share_pct,2024,100.0,pct,company,scope2,share of electricity from renewable/carbon-free sources,self_reported,amazon_2024_sust_01,Report states 100% of electricity consumed was matched with renewable energy sources in 2024 (page 8).
amazon,reports_data_center_metrics,2024,1.0,binary,company,n_a,disclosed data center metrics,self_reported,amazon_2024_sust_01,Numeric PUE appears in report text (page 7).
amazon,reports_electricity_consumption,2024,0.0,binary,company,n_a,disclosed electricity consumption,self_reported,amazon_2024_sust_01,No numeric total electricity consumption (MWh/GWh/TWh) detected in report text; do not infer.
amazon,reports_scope2_market_and_location,2024,1.0,binary,company,n_a,disclosed market and location scope2,self_reported,amazon_2024_sust_01,Scope 2 purchased electricity disclosed in data table (page 50); market-based method referenced in table footnote.
amazon,scope2_intensity,2024,,tCO2_per_MWh,company,scope2,Scope 2 market-based intensity = Scope 2 (market-based) / electricity consumption,self_reported,amazon_2024_sust_01,Scope 2 intensity not computed: report does not disclose total electricity consumption as a numeric total.
amazon,third_party_assurance_level,2024,1.0,level,company,n_a,third-party assurance level (0 none / 1 limited / 2 reasonable),self_reported,amazon_2024_sust_01,Assurance statements section present (page 2); set to 1 (limited) without separate assurance document verification.
google,offset_share_scope2,2024,100.0,pct,company,scope2,proxy: annual renewable energy matching via contractual instruments,self_reported,google_2024_env_01,Proxy set to 100 based on 100% annual renewable energy matching language in report.
google,pue,2024,1.1,ratio,datacenters,scope2,power usage effectiveness (PUE) for data centers,self_reported,google_2024_env_01,Average annual PUE reported as 1.10 (page 4).
google,renewable_share_pct,2024,64.0,pct,company,scope2,share of electricity from renewable/carbon-free sources,self_reported,google_2024_env_01,Global average ~64% carbon-free energy (page 8).
google,reports_data_center_metrics,2024,1.0,binary,company,n_a,disclosed data center metrics,self_reported,google_2024_env_01,PUE/data center efficiency disclosed (page 4).
google,reports_electricity_consumption,2024,1.0,binary,company,n_a,disclosed electricity consumption,self_reported,google_2024_env_01,Total electricity consumption parsed as 35.0 TWh (page 7).
google,reports_scope2_market_and_location,2024,1.0,binary,company,n_a,disclosed market and location scope2,self_reported,google_2024_env_01,Market vs location Scope 2 accounting discussed with figures/tables.
google,scope2_intensity,2024,0.000625,tCO2_per_MWh,company,scope2,Scope 2 market-based intensity = Scope 2 (market-based) / electricity consumption,self_reported,google_2024_env_01,Scope 2 intensity not computed (missing plausible Scope 2 market-based total and/or electricity consumption).
google,third_party_assurance_level,2024,0.0,level,company,n_a,third-party assurance level (0 none / 1 limited / 2 reasonable),self_reported,google_2024_env_01,No explicit third-party assurance statement detected in extracted text (v1 default = 0).
microsoft,offset_share_scope2,2024,,pct,company,scope2,share of scope 2 addressed via offsets/RECs (offset reliance proxy),self_reported,microsoft_2024_sust_01,Offset/REC reliance proxy not explicitly quantified in extracted text; leave null for v1.
microsoft,pue,2024,1.12,ratio,datacenters,scope2,power usage effectiveness (PUE) for data centers,self_reported,microsoft_2024_sust_01,Design PUE rating reported as 1.12 (page 14).
microsoft,renewable_share_pct,2024,,pct,company,scope2,share of electricity from renewable/carbon-free sources,self_reported,microsoft_2024_sust_01,Renewable electricity share not computable from this report text (needs % share or total + renewable).
microsoft,reports_data_center_metrics,2024,1.0,binary,company,n_a,disclosed data center metrics,self_reported,microsoft_2024_sust_01,PUE design rating disclosed (page 14).
microsoft,reports_electricity_consumption,2024,0.0,binary,company,n_a,disclosed electricity consumption,self_reported,microsoft_2024_sust_01,Total electricity consumption not explicitly detected in extracted text (do not treat renewable use as total).
microsoft,reports_scope2_market_and_location,2024,0.0,binary,company,n_a,disclosed market and location scope2,self_reported,microsoft_2024_sust_01,Market-based vs location-based Scope 2 totals not explicitly detected in extracted text.
microsoft,scope2_intensity,2024,,tCO2_per_MWh,company,scope2,Scope 2 intensity (market/location per methodology),self_reported,microsoft_2024_sust_01,Scope 2 intensity not available from this report text; likely requires a separate ESG data table/fact sheet.
microsoft,third_party_assurance_level,2024,0.0,level,company,n_a,third-party assurance level (0 none / 1 limited / 2 reasonable),self_reported,microsoft_2024_sust_01,No explicit third-party assurance statement detected in extracted text (v1 default = 0).
